id,name,country,league
10718,FC Andorra,Andorra,LaLiga2
9709,Independ. Rivadavia,Argentina,Argentina Liga Profesional
35327,Independiente,Argentina,Argentina Liga Profesional
45457,All Boys,Argentina,Argentine Primera Nacional
57337,Nueva Chicago,Argentina,Argentine Primera Nacional
14602,AA Estudiantes (Río Cuarto),Argentina,Primera Nacional
4673,Arsenal FC,Argentina,Primera Nacional
38545,CA Agropecuario,Argentina,Primera Nacional
12100,CA All Boys,Argentina,Primera Nacional
12563,CA Alvarado,Argentina,Primera Nacional
8057,CA Atlanta,Argentina,Primera Nacional
14670,CA Central Norte,Argentina,Primera Nacional
2154,CA Chacarita Juniors,Argentina,Primera Nacional
12681,CA Chaco For Ever,Argentina,Primera Nacional
13339,CA Colegiales,Argentina,Primera Nacional
1070,CA Colón,Argentina,Primera Nacional
24749,CA Defensores Unidos (Zarate),Argentina,Primera Nacional
6062,CA Defensores de Belgrano,Argentina,Primera Nacional
14312,CA Estudiantes,Argentina,Primera Nacional
58188,CA Güemes,Argentina,Primera Nacional
5208,CA Los Andes,Argentina,Primera Nacional
30038,CA Mitre,Argentina,Primera Nacional
10534,CA Nueva Chicago,Argentina,Primera Nacional
19806,CA Patronato,Argentina,Primera Nacional
10403,CA Racing (Córdoba),Argentina,Primera Nacional
19634,CA San Miguel,Argentina,Primera Nacional
13651,CA San Telmo,Argentina,Primera Nacional
14519,CA Talleres (Remedios de Escalada),Argentina,Primera Nacional
14542,CA Temperley,Argentina,Primera Nacional
14318,CS Deportivo Madryn,Argentina,Primera Nacional
1771,CSD Tristan Suarez,Argentina,Primera Nacional
14977,Club Almagro,Argentina,Primera Nacional
12672,Club Almirante Brown,Argentina,Primera Nacional
10885,Club Atlético Gimnasia y Esgrima (Jujuy),Argentina,Primera Nacional
12709,Club Atlético San Martín (Tucumán),Argentina,Primera Nacional
19523,Club Deportivo Maipú,Argentina,Primera Nacional
12458,Club Deportivo Morón,Argentina,Primera Nacional
4557,Club Ferro Carril Oeste,Argentina,Primera Nacional
14688,Club de Gimnasia y Tiro,Argentina,Primera Nacional
14687,Gimnasia y Esgrima de Mendoza,Argentina,Primera Nacional
1826,Quilmes AC,Argentina,Primera Nacional
1030,AA Argentinos Juniors,Argentina,Torneo Clausura
12301,CA Aldosivi,Argentina,Torneo Clausura
830,CA Banfield,Argentina,Torneo Clausura
25184,CA Barracas Central,Argentina,Torneo Clausura
189,CA Boca Juniors,Argentina,Torneo Clausura
31284,CA Central Córdoba (SdE),Argentina,Torneo Clausura
2063,CA Huracán,Argentina,Torneo Clausura
1234,CA Independiente,Argentina,Torneo Clausura
333,CA Lanús,Argentina,Torneo Clausura
1286,CA Newell\,Argentina,Torneo Clausura
209,CA River Plate,Argentina,Torneo Clausura
1418,CA Rosario Central,Argentina,Torneo Clausura
1775,CA San Lorenzo de Almagro,Argentina,Torneo Clausura
10511,CA San Martín (San Juan),Argentina,Torneo Clausura
12454,CA Sarmiento (Junin),Argentina,Torneo Clausura
3938,CA Talleres,Argentina,Torneo Clausura
7097,CA Unión (Santa Fe),Argentina,Torneo Clausura
1029,CA Vélez Sarsfield,Argentina,Torneo Clausura
12574,CD Godoy Cruz Antonio Tomba,Argentina,Torneo Clausura
12179,CS Independiente Rivadavia,Argentina,Torneo Clausura
2417,Club Atlético Belgrano,Argentina,Torneo Clausura
928,Club Atlético Platense,Argentina,Torneo Clausura
11831,Club Atlético Tigre,Argentina,Torneo Clausura
14554,Club Atlético Tucumán,Argentina,Torneo Clausura
19775,Club Deportivo Riestra,Argentina,Torneo Clausura
288,Club Estudiantes de La Plata,Argentina,Torneo Clausura
1106,Club de Gimnasia y Esgrima La Plata,Argentina,Torneo Clausura
2402,Defensa y Justicia,Argentina,Torneo Clausura
1829,Instituto ACC,Argentina,Torneo Clausura
1444,Racing Club,Argentina,Torneo Clausura
875,Adelaide United,Australia,A-League Men
7831,Brisbane Roar,Australia,A-League Men
6954,Central Coast Mariners,Australia,A-League Men
71085,Macarthur FC,Australia,A-League Men
25580,Melbourne City FC,Australia,A-League Men
7006,Melbourne Victory,Australia,A-League Men
5551,Newcastle United Jets,Australia,A-League Men
970,Perth Glory,Australia,A-League Men
8054,Sydney FC,Australia,A-League Men
36100,Western Sydney Wanderers,Australia,A-League Men
15889,Gold Coast United,Australia,
71084,Western United FC,Australia,
503,Admira Wacker,Austria,2. Liga
541,SC Austria Lustenau,Austria,2. Liga
28760,SK Austria Klagenfurt,Austria,2. Liga
2662,SKN St. Pölten,Austria,2. Liga
936,Schwarz-Weiß Bregenz,Austria,2. Liga
14,Austria Vienna,Austria,Bundesliga
2157,FC Blau-Weiss Linz,Austria,Bundesliga
316,Grazer AK 1902,Austria,Bundesliga
413,LASK,Austria,Bundesliga
170,Rapid Vienna,Austria,Bundesliga
409,Red Bull Salzburg,Austria,Bundesliga
36999,Red Bull Salzburg,Austria,Bundesliga
